chunk_id,company_name,sector,file_name,policy_url,chunk_no,chunk_text
AIA생명보험_0001,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,1,문의하기 개인정보처리방침 aiaz2 0/eya 소비자포털 공시실 alat 고객지원 헬스케어 서비스 험상품 보 회사 소개 모 더 대 개 곧 은 20 50 메 고 느 더 또 에 19 무 기 개 줌 때 더 주포 꺼 더 월 60 00 더 과 40 70 23 30 고 므 20 101 1어 10 은 그 뽀 야 자 tews 20 11 101 고 70 60 40 60 더 그 fiir 00 350 꿔 기 벼 호 마 회 20 00 무 00 중 미 10 101 00 20 퍼 을 긍 여 기 그 퍼 히어 메매 수 10 퍼 70 316 퍼 개 의 나 제 따윈 65 후 30 33 는 자 꿔 40 08 펀 메디 가꿔 이 퍼다 주 제 기 으 개 경 바도 가 로 60 피 퍼 이 26 350 40 20 ai 잎 228 은 다음과 같이 구성되어 있습니다. 바즈 aiasss 개인정보 처리 제1조 개인정보의 처리 목적 제2조 저리 제3조 14세 미만 아동의 개인정보 처리에 관한 사항 제4조 개인정보의 처리 및 보유기간 제5조 개인정보의 파기 절차 제6조 개인정보의 제3자 제공에 .html 시1 프리미어파트너스 소비자포털 개인정보처리방침 공시실 우 그 으 스 뜨패 제3자가 스케어 서비 [사항 시 내 호 은 보 거피 회사 소개 제11조 가명정보 처리에 써 172 제10조 개 제13조 개인 졸 10 fo)0ol 00 에 00 40 이 퍼금흐 꽤 퍼 퍼 마개 과금 id 64 00 의고프괜 떠 포그 후 30 00 오 10 00 04 490 머 원 에 퍼 더 주 퍼 00 00 30 더 구아 이 별 00 벤 이 기 합 퍼 고 호 160 이 00 20 이 나 퍼
AIA생명보험_0002,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,2,"졸 10 fo)0ol 00 에 00 40 이 퍼금흐 꽤 퍼 퍼 마개 과금 id 64 00 의고프괜 떠 포그 후 30 00 오 10 00 04 490 머 원 에 퍼 더 주 퍼 00 00 30 더 구아 이 별 00 벤 이 기 합 퍼 고 호 160 이 00 20 이 나 퍼 고 102 02 100 00 60 마 퍼 illo 116 모이 rouyss 14 70 중 00 40 인 띠 olkk 만 비 하자 시 호 퍼가 01 여 00 2020 소 124 100 극 00 내 16 40 00 효핀 160 버 00 이 쁘 야 페 이 둥 바0 회 560 35 마 근 이 10 내0 자 민 대 더 을 표고 고 과 께 102 100 720 160 000 베 버 10 00 00 뻐 이 00 송 mqgqh 30 마 주 합포 중 60 이 스 600 인 과 30 나 인 shoaaaxx 중 voyow 00 이 고 더 고 00 100 도 이버 이해 00 퍼프 시 aiid 고 버 다 어퍼 그 00 자 기 80 고 이 더 지패파고 몰 그 히히 퍼 hwee 할 교 히 월 boos zoek 으 20 고 고 32 도 이 또 던 그 대 slade 잘 98 geese 제 만 퍼 호브퍼해 shee 한 four tpege 퍼 이 퍼 호 중꼬펜 호 해 이 이 10 20 10 70 히 고 04 40 10 18 고 점 내 이 퍼 이 퍼고아퍼 더 더 던 더 더 (시 00 rrrer 69 vitality 관련 기타 방법을 통 도 자, 이메일, 메신저, 매체( 자적 항의 처리 간련 사 건강활동 혜택 곤 경품, 보험설계사 및 보험대리점의 유지 .html 개인정보처리방침 a"
AIA생명보험_0003,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,3,"10 18 고 점 내 이 퍼 이 퍼고아퍼 더 더 던 더 더 (시 00 rrrer 69 vitality 관련 기타 방법을 통 도 자, 이메일, 메신저, 매체( 자적 항의 처리 간련 사 건강활동 혜택 곤 경품, 보험설계사 및 보험대리점의 유지 .html 개인정보처리방침 aiaz2 o/ojt 소비자포털 aiat 공시실 객지원 헬스케어 서비스 고 험상품 보 회사 소개 권면 무주입무(모엄내리점 세뇌) 보험금 지급, 보험 금융사 보험사기 예방 의 지 으 loot 가조 수수료 능 그 모집경력의 체계적인 관리 및 제3자 제 )이 한 페이지(14 포 전자금융거래 서비스 의 서비스 제공 설계 등 web 사이트 이용 관련 40 160 리케이션 이용 관련 프 글 (69) vitality 어 멤버십 서비스 제공, 유지, 관르 항 처리 버십 서비스 시스템 운영 시 필요 사 2.4 처리 지원 사항 및 처리 으 지 서비스와 디바이스 또는 멤 digital direct 사이트 이용 관련 고 10 이 때 보험계약의 근로계약 험, 자녀 단체보 31 의무의 준수 관련 해정적 법정 사에 부과되 사회보험( 처리 밀 보호 saiy 원 등의 정보 및 임직 고 02 가명처리 관 03) 헬스케어 서비스 이용 관련 케어 서비스 제 22 제2조. 처리하는 개 정보 관리 목적 처리 포함) 으 제24조의2 제1 제24조 ,제23조 제1항 거 개인정보보호법 제15조 저그 그 법 700 가 드로 수모 고유식별정보: .html 시1 프리미어파트너스 소비자포털 개인정보처리방침 ,제24조의2 제1 고 으 공시실 alat ,제24조 제1 으 우 지 그 a232 제1 으 여"
AIA생명보험_0004,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,4,"4조의2 제1 제24조 ,제23조 제1항 거 개인정보보호법 제15조 저그 그 법 700 가 드로 수모 고유식별정보: .html 시1 프리미어파트너스 소비자포털 개인정보처리방침 ,제24조의2 제1 고 으 공시실 alat ,제24조 제1 으 우 지 그 a232 제1 으 여 처리하는 개 스케어 서비 르 고 관계 고 은 보 거 개인정보보호법 제15조 제1 회사 소개 afs(fiul 계약자와 피보험자의 석 416 버 [필수] 보험계약의 체결 및 이호 100 사-통 호 여부, 국내거소신고번호, 연계정보( 신용정보 즈 즈 녀니으르 및 보이이 사의 실명 youl 100 [입금액 등), 보 험2 료, 보 현 엄 류, 기간, 보 보(상품종 한 제24조의2 제1 으 제24조 12 제23조 보(대출 그 으 m1524 번 계약 전 알릴 의무사항(취미 등) 그 유, 지급금으 요 항모 거 개인정보보 집 이 신용거래정보:보험계 저그 석 법 00 010 고 으 제24조의2 제1 제24조 제1 고 으 ,제23조 제1 으 m152 거 개인정보보 법적근 메 160 보 포함) 국내거소신고번호 인 된 개 은 고 사서, 증명서, 진료기록 등에 포 사고 조사(보 고 보 의 위 유-무선 전화번호, 성별, 국적, 직업, 피보험자와 수익자으 보 일 머 고 으 익 때 병-상해어 등로 고유식별정보: 민감정보:피보험자의 (경찰, 공공 국가기관, 의료기관 등으로부터 그거 tahoe 제15조 제1 ai 석 법 100 vitality 로그 정보 저스 바이탈리티 어 가 고객식별정보 이메일주소, 원 대폰번 스 으 일, 성별 으 우 년 바이탈리티 멤버십 서비 신용거래정보"
AIA생명보험_0005,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,5,": 민감정보:피보험자의 (경찰, 공공 국가기관, 의료기관 등으로부터 그거 tahoe 제15조 제1 ai 석 법 100 vitality 로그 정보 저스 바이탈리티 어 가 고객식별정보 이메일주소, 원 대폰번 스 으 일, 성별 으 우 년 바이탈리티 멤버십 서비 신용거래정보 설 번 보 청약 명보 당월 구매 이용 여부 및 일자, 구매 이용 제품/서 계약 정보, aiaak 여부, 14생명 보험 명 보험 입 여부, aiaa 가 거래정보 바이탈리티 보상( 2[0)을 활용한 제휴사 제품/서비스 구매-이용 관로 보험정보 보험상 보 스 여 처리하는 개 르며 련 관 항 :고 거 개인정보보호법] 제15조 제1 저그 커드 [필수] 보험설계사 및 보험대리점 유지 법 160 00 가 득일 등), 경력, 소속, agent code, 즈 수 .html 시1 프리미어파트너스 소비자포털 개인정보처리방침 공시실 지원 그 스케어 서비 르 은 보 회사 소개 의 121] 04 1어 10 본 더 후 [10 끄 미 여 고 귀 고 때 도 고 10 00 때 때 굽 10 퍼 때 벼 그 20 00 뀌 끄 오버 의 다 봅 니 오 우름 에 기 때 더 그 는 고 바 꿔 전 60 70 땐 고 고 160 40 100 160 므 00 160 02 주 120 마 기 내 00 에 이 이 이 이 은 여 에 에 에 주오 기 동 10 애 에 디 주 는 101 00 는 00 100 100 100 10 100 40 100 이 허 때 10 즈 오프 20 퍼 d2anqg 10 내 [때 주 국고 [때 aiid 페 는 에 뀌 00 때 브비 적 00 140 100 161 1어 40 오진 더 2"
AIA생명보험_0006,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,6,"주오 기 동 10 애 에 디 주 는 101 00 는 00 100 100 100 10 100 40 100 이 허 때 10 즈 오프 20 퍼 d2anqg 10 내 [때 주 국고 [때 aiid 페 는 에 뀌 00 때 브비 적 00 140 100 161 1어 40 오진 더 20 더 더 버 르 그 이 꿔 띠야 기기 펌 몰 쥐뮤펀 즈 더 해 때 비글 을 회 을 과 00 허 에 수 은 힌 에 본 때 10 원 bake 고 도 호 호 그 시 가 10 파일 고 쏘 혼 몰 코 교비 을 몰 은 몰 스과히기 주 호 제 포 뻔 무코 fyakz 과 woawiais; 둘 10 70 고 04 때 70 그 그 때 우 그 00 51 104 퍼 40 10) 퍼헤줄리 오 꿔 20 00 즈미 에버버 이 매때헤픽제머 호 퍼 포구 을 퍼 조조 해오 혀 20 30 고 으미조부 재퓨사적만일 퍼직군 핀 payee 은 7eanwke thuher thayaodo mmunho 100 이 시 100 42 100 100 jill 100 00 100 주 110 미개 20 룹 kolo 8뻐지조 미미 foruokkostw fsrwom 은 ssmwmes fsmd 100 으 이 으 21 더딘 00 922 22 zocor 자 자 자 22 자 끄 자 20 자 82 자 여부, 군면제사 경력에 관한 정보, 장애여부, 보 예어부, 범조 번호, 오 정보 워임 성병 로 로 로 년 더 련 처리하는 개 고 근거 thar 제28조의2 석 02) [필수] 가명처리 법 .html 헬스케어 서비스 416 락처, 제3조. 14세 미만 아동의 개인정보 처리에 관한 사항 개인 로부터 동의를 정보보호법"
AIA생명보험_0007,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,7,"보 예어부, 범조 번호, 오 정보 워임 성병 로 로 로 년 더 련 처리하는 개 고 근거 thar 제28조의2 석 02) [필수] 가명처리 법 .html 헬스케어 서비스 416 락처, 제3조. 14세 미만 아동의 개인정보 처리에 관한 사항 개인 로부터 동의를 정보보호법 제22조 받습니다. 그 회사는 14세 미만 아동의 개인정보 처리에 관하여 요구할 수 있으며, 동의 내용을 게재한 문자메시지로 알리는 방법으로 그 사실을 확인합니다. 제4조. 개인정보의 처리 및 보유기간 회사는 법령에 따른 개인 보유합니다. 정보 보유이용기간 또는 01) 보험계약 체결 전 사전 검토 수집 보험계약 그 법정 인터넷 사이트에 법정대리인이 동 이메일 상태 등] 대리인의 동 정보주체로부터 개인정보를 수집 부터 1년까지 공시 의 여부 개인정보처리방침 소비자포털 받을 를표 보험계약의 체결 및 제공받 는 자의 이용목적을 보험계약대출 체결 및 이행 로 르 일로부터 거래종료 후 5년까지 보험금 청구 관련하여 처리하는 개인정보 수집 이용 동의일로부터 거래종료 후 5년까지 상품의 소개 및 마케팅 관련 회사와 보험계약 체결실적이 있는 고객 동의일로부터 최대 5년 회사와 보험계약 체결실적이 없는 고객 동의일로부터 최대 2년 vitality 멤버십 서비스 가입 시 마케팅 활용 동의 고객 동의일로부터 최대 3년 보험설계사 및 보험대리점 유지 관리 관련 정보 동의일로부터 위촉(위탁) 계약의 효력종료 후 3년까지(단, 보험금 지급, 금융사고 조사, 분쟁해결, 민원 처리, 의무이행을 위한 경우 별도 보관관리) 홈페이지(414 포함) 이용 관련 1.414 생명 홈페"
AIA생명보험_0008,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,8,"로부터 최대 3년 보험설계사 및 보험대리점 유지 관리 관련 정보 동의일로부터 위촉(위탁) 계약의 효력종료 후 3년까지(단, 보험금 지급, 금융사고 조사, 분쟁해결, 민원 처리, 의무이행을 위한 경우 별도 보관관리) 홈페이지(414 포함) 이용 관련 1.414 생명 홈페이지 1:1문의 및 보험범죄 신고 상담/조사 종료 시, 금융거래가 있는 경우 금융거래 종료일로부터 최대 5년 전자금융거래서비스(41 전자금융거래법 및 신용정보의 이용 및 보호에 관한 등 관계 법령에 따라 보관이 허용되는 시기까지 web 사이트 이용 정보 동의한 날로부터 2년 vitality 어플리케이션 이용 관련 동의일부터 멤버십 서비스 회원 탈퇴 또는 회원 자격상실 확정 통보 후 5년(단, 회원 탈퇴 또는 회원 자격상실 확정 통 보 후 5년이 경과한 후에는 aamas] 사고조사적발, 민원처리 및 분쟁 대응, 의무이행을 위한 경우에 한하여 보유 이용) 00 digital direct 사이트 이용 관련 해당사이트로 청약시 신용정보의 이용 및 보호에 관한 법률 등 관계 법령에 따라 보관이 허용되는 시기까지 01) 임직원 인사관련 정보 근로기준법에 따른 퇴사 후 3년간 보유, 단, 3년 이상 보관할 필요가 있는 경우, 별도 동의 02) 가명정보 처리 관련 제11조(가명정보 처리에 관한 사항) 의 이용 기간 을 따름 03) 헬스케어 서비스 이용 관련 동의일로부터 서비스 종료 시까지 또는 신정인이 헬스케어 서비스 부가 기준을 충속하지 못하게 되었을 경우 그 점까지 제5조. 개인정보의 파기 절차 및 방법에 관한 사항 회사는 개인정보 보유기간의 경과, 처리목"
AIA생명보험_0009,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,9,"항) 의 이용 기간 을 따름 03) 헬스케어 서비스 이용 관련 동의일로부터 서비스 종료 시까지 또는 신정인이 헬스케어 서비스 부가 기준을 충속하지 못하게 되었을 경우 그 점까지 제5조. 개인정보의 파기 절차 및 방법에 관한 사항 회사는 개인정보 보유기간의 경과, 처리목적 달성 등 개인정보가 불필요하게 되었을 때에는 지체 없이 해당 개인정보를 파기합니다. 의2 제1항 따라 14세 미만 아동의 개인정보를 처리하기 위하여 동의가 필 성할 때까지(최대 거래종료 후 aiaz2 opel 5년까지) 간 내에서 개인정보를 처리 및 .html 배 관 니다. 로만 제공 (개인정보처리자의 명 호 ),제6 범위 내에서 정보주체의 동의 없이 익 이 상드 스 전 산 글 서에 715 보 명-신체:재손 14프리미어파트너스 스 이 바 며, 소비자포털 ),제5호(급 필요)에 따라 개인정보를 수집한 목 개인정보처리방침 응대 및 전자금융거래 서비 공시실 1호에 따라 정보주체로부터 으 으 변 지 제17조제1 그 고 버 호 스 서비스 제공을 위 경우 스케어 서비 등으 위해 개인정보보 프 고으 은 보 이벤트 문의 니다. 규 고 으 섬겨 스 자적 파일 개인정보보호법 제15조제1항 회사 소개 여 파기 쁘 내, 가운 정보주체로부터 별도의 파기절차 개인정보 파기의 절차 및 방법은 다음과 같습니다. 파기방법 제조. 개인정보의 제3자 제공에 01 회사는 원활한 서비스 제 회사 있습니다. 사항을 고려하여 정보주체의 동의 없이 르 14조의2에 따 에따라 개인정보보호법시행령 이하므로 자세한 사항은 본 처리방침의 제2조. 처리 개인정보의 국외 수집 및 이 상 에 비주"
AIA생명보험_0010,AIA생명보험,보험,AIA생명보험.pdf,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,10,"다. 파기방법 제조. 개인정보의 제3자 제공에 01 회사는 원활한 서비스 제 회사 있습니다. 사항을 고려하여 정보주체의 동의 없이 르 14조의2에 따 에따라 개인정보보호법시행령 이하므로 자세한 사항은 본 처리방침의 제2조. 처리 개인정보의 국외 수집 및 이 상 에 비주어 볼 때 개인 고 처리 개인정보의 추가적인 이용제공이 정보주체의 이 개인정보의 범위가 제15조 제3항 또는 제17조 제4 그 화 호 수집한 정 국외의 제3자에게 제공하는 경우에 보를 추가적으로 이용-제공 르 )정보 제3자 제공 현황 바로가기(클릭) 개인정보보 느 추가적으로 수 있습니다. 즈 개인정보처리자의 이러한 경우, 회사는 정보주체의 동의 없이 추가 제공 목적에 따라 제공하 개인정보 개인( 07 회사 개 였는지 여부 -느 하고 있습니다. 그 회사의 동의를 받고 있으며, 본 개인정보 처리방침을 안전하게 처리하는지를 경 느 보려 트 으 집및 시하고, 수탁자가 개오 며 서에 같이 개인정보 처리 하여 다음 에 따라 수탁자가 당사의 개인정보 처리업무를 재 으 내용이나 수탁자가 경우에는 지체 없이 본 개인정보 처리방 정보 처리 위탁 현황 바로가기(클릭) 의 요 버 sime 위탁계약 체결 시 개인정보보호법 제26조에 따라 위탁업무 수행목적 외 개인정보 처리금지, 기술적 관리적 보호조치, 재위탁 제한, 수탁자에 으 우 개인정보 처리 업무를 국외에 위탁하는 개인정보의 국외 수 제8조. 개인정보 처리 개인정보 보호법 제26조제6 통하여 재수탁자와 재 개인( 100 집 및 제9조. 개인정보의 국외 수 .html 개인정보처리방침 aiaz2 o/ojt 소비자포털"
