company_id,file_name,company_name,sector,policy_url,source_type,pdf_path,review_needed,notes,policy_url_status
F001,AIA생명보험.pdf,AIA생명보험,보험,https://www.aia.co.kr/ko/footer/customer-right-information/privacyty-policy-guide/pi-processing/20260501.html,manual_pdf,data\raw_pdf\AIA생명보험.pdf,N,,checked
F002,AIG손해보험.pdf,AIG손해보험,보험,https://www.aig.co.kr/wm/content.html?contentId=DPWMS810,manual_pdf,data\raw_pdf\AIG손해보험.pdf,N,,checked
F003,BNK부산은행.pdf,BNK부산은행,은행,https://www.busanbank.co.kr/ib20/mnu/BHPCSC353002001,manual_pdf,data\raw_pdf\BNK부산은행.pdf,N,,checked
F004,BNK캐피탈.pdf,BNK캐피탈,중소서민,https://web.bnkcapital.co.kr/view/cspt/ctpp/CsptCtpp010M01,manual_pdf,data\raw_pdf\BNK캐피탈.pdf,N,,checked
F005,BNP파리바카디프생명보험.pdf,BNP파리바카디프생명보험,보험,https://www.cardif.co.kr/customer-center/hc/tos/hctos001.do,manual_pdf,data\raw_pdf\BNP파리바카디프생명보험.pdf,N,,checked
F006,DB손해보험.pdf,DB손해보험,보험,https://www.idbins.com/pc/bizxpress/contentTemplet/gid/pi.jsp,manual_pdf,data\raw_pdf\DB손해보험.pdf,N,,checked
F007,IBK기업은행.pdf,IBK기업은행,은행,https://www.ibk.co.kr/common/navigation.ibk?linkUrl=/customer/secure/private_secure_1_21.jsp&pageId=CM01070100,manual_pdf,data\raw_pdf\IBK기업은행.pdf,N,,checked
F008,IBK연금보험.pdf,IBK연금보험,보험,https://www.ibki.co.kr/process/HP_CSCERT_INDV_INF_CON_NTC,manual_pdf,data\raw_pdf\IBK연금보험.pdf,N,,checked
F009,IBK캐피탈.pdf,IBK캐피탈,중소서민,https://www.ibkc.co.kr/ib20/mnu/MNUPCKRULE002,manual_pdf,data\raw_pdf\IBK캐피탈.pdf,N,,checked
F010,JB우리캐피탈.pdf,JB우리캐피탈,중소서민,https://www.wooricap.com/cst/plc/JCSTPLC0005.do,manual_pdf,data\raw_pdf\JB우리캐피탈.pdf,N,,checked
F011,JT저축은행.pdf,JT저축은행,중소서민,https://jt.ibs.fsb.or.kr/CstPrviInfo_001.act,manual_pdf,data\raw_pdf\JT저축은행.pdf,N,,checked
F012,JT친애저축은행.pdf,JT친애저축은행,중소서민,https://www.jtchinae-bank.co.kr/other/privacy.do?tab=p1,manual_pdf,data\raw_pdf\JT친애저축은행.pdf,N,,checked
F013,KB국민은행.pdf,KB국민은행,은행,https://obank.kbstar.com/quics?page=C110564,manual_pdf,data\raw_pdf\KB국민은행.pdf,N,,checked
F014,KB국민카드.pdf,KB국민카드,중소서민,https://card.kbcard.com/SVC/DVIEW/HSFMCXCRSCSC0047,manual_pdf,data\raw_pdf\KB국민카드.pdf,N,,checked
F015,KB라이프생명보험.pdf,KB라이프생명보험,보험,https://www.kblife.co.kr/customer-center/personalInformationProcessingPolicy.do?tabidx=1,manual_pdf,data\raw_pdf\KB라이프생명보험.pdf,N,,checked
F016,KB손해보험.pdf,KB손해보험,보험,https://www.kbinsure.co.kr/CU801020001.ec,manual_pdf,data\raw_pdf\KB손해보험.pdf,N,,checked
